Gran_Santiago,Gran Concepcion,Gran Valparaíso,Gran La Serena,Antofagasta,Gran Temuco,Gran Rancagua,Gran Iquique,Talca,Arica,Gran Puerto Montt,Gran Chillán,Los Ángeles,Calama,Copiapó,Osorno,Gran Quillota,Valdivia,Punta Arenas,Gran San Antonio,Curicó,Ovalle,Linares,Los Andes,Melipilla,San Felipe
Avenida Blanco Encalada,Lautaro ,Yungay,Av. El Santo,Maipu,Av San Martin,Rubio,Av. Tadeo Haenke,Dos Sur,Alejandro Azolas,San Ignacio,O’higgins,Camino Maria Dolores,Av. Grecia,Circunvalacion,Manuel Rodriguez,Valparaiso,Gral Lagos,Capitan Juan Guillermos,Independencia ,Arturo Alessandri,Maestranza,Pdtte ibanez,Sta Teresa,Las Torres,Encon
Avenida Brasil,Manuel Gutierrez,Chacabuco,Gomez Carreño,21 de Mayo,Hochstettr,San Martin,Genaro Gallo,Cuatro Norte,Gonzalo Cerda,Cristian Brahm,Collin,Las azaleas,Arturo Prat,Jose M. Infancia,Los Carrera,Arauco Pte.,Av. Simpson,Claudio Bustos,Barros Luco,Camilo Henriquez,Av. Benavente,J Espinoza,Argentina,Libertad,Maipú
Avenida Ejercito Libertador,Jenequeo,Pedro Montt,Juan Antonio Rios,Capitan Carlos Condell,León Gallo,Estado,Av. Arturo Prat Chacón,Calle 1 Pte.,Tucapel,Jose Manuel Balmaceda,Argentina,Orompello,Maipú,Atacama,Errazuriz,Calle Lorca,Francia,Gral. E. del Canto,Anibal Pinto,Balmaceda,Ovalle- Combarbala,Leon Bustos,Rancagua,Manso,Hnos Carrera
Avenida General Rondizzoni,Ventus,Victoria,Carlos Lambert,Arturo Prat,Av. Pablo Neruda,Alcazar,Av. Santiago Polanco,Tres Sur,Loa,Talca,Sepulveda Bustos,Janequeo,Av. Chorrillos,Av. copayapu Av. Copayapu,Anibal Pinto,Av. Condell,Av. Pedro Montt,Av. Pdte Eduardo Frei Montalva,Divina Providencia,Gral Freite,CompusPro,Rengo,Independencia,Riquelme,Yungay
Avenida Libertador Bernardo Ohiggins,Palcavi,Independencia,California,Antonio Jose de Sucre,Arauco,Almarza,Av. La Tirana,Cuatro Sur,Esteban Rios,Dr Martin,Baquedano,Ercilla,Tarapaca,Carlos Carrera,Zenteno,Ramón Freite,Ecuador,Capitán Ignacio Carrera Pinto,El Arrayán ,Calle Uno,SoldadoSanchez,San Martín,Esmeralda,San Miguel,Hnos Carrera
Avenida Manuel Antonio Matta,Hugo Montriou,Av.Colon,Gabriel Gonzalez Videla,Mall Plaza,Imperial,Jose Domingo Mujica,Cerro Dragon,Cinco Sur,Renato Rocca,Padre Hartes,Libertad,Almagro,Av. Almte. Grau,Los Loros,Cesar Ercilla,La Concepcion,Don Bosco,El Ovejero,Gral. Manuel Baquedano,Estado,Tangue,Arturo Prat,Av. Sarmiento,Barros,Pje Uno
Avenida Matucana,Juan de Dios Rivera,Freire,Reinaldo Boltz,Simon Bolivar,Sta Carolina,Av. Capitan Ramon Freire,El Tamarugal,Siete Sur,Santa Maria,Sta Teresa,El Roble,Villagran,Alemania,Lastarria,Alcalde René Soriano Borquez,Pudeto,Av. Arturo Prat,Homillas,Circunvalacion Los Aromos,Argomedo,Ariztía Oriente,A Panimavida,Cacique Vitacura,Ortuzar,Montaña
Avenida San Diego,Paredes,Lastra,El Roble,Teniente Ignacio Serrano,Caupolican,Caceres,Valle Central,Once Ote,Barros Arana,Santa Maria,Maipo,Rengo,Huaytiquina,Rivera Medina,Diego de Almagro,Calle Herboso,Av. Ramón Picarte ,Enrique Abello,Rosedal,Villota,La Chimba,Maipu,Chacay,Valdes,Encon
Calle Agustinas,Galvarino,Las Monjas,Marcela Paz,Covadonga,Av. Alemania,Av. Illanes,Las Nevadas,Cancha Rayada,Santa Maria,Ejercito,Cocharcas,Tucapel,Emilio Sotomayor,Carlos Condell,Av. Francia,Rafael Ariztia,Av. Simpson,av. Pdte. Manuel Bulnes,Tarapacá,España,Maestranza,Valentin Letelier,Pascual Baburizza,Pdte. Demetrio Bravo,Maipú
Calle Bandera,Gaete,Seray,Francisco Encina,Copiapo,Arturo Alessandri,rRivera,Aeropuerto,Dos Sur,A. Luis Beretta Porcel,Regimiento,Purén,Lautaro,Pedro de Valdivia,El capacho,Manuel Rodriguez,Vicuña Mackenna,Errazuriz,Av. Pdte. Pedro Aguirre Cerda,Juan Fernandes,Carrera,Av. Benavente,Av. Coronel Artilleria Luis Carrera,Enrique de la Fuente,Jose Massoud Sarquis,Hnos Carrera
